"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@bizmarkiedesade And they realized that if they have the machines just self-reference, they take a lot less power a＃ https://t.co/HohcVqV0qn",FALSE,0,"brofax",2017-12-04 23:37:39,TRUE,"937827871128633344","937828274817810433","13505842","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","brofax",0,FALSE,FALSE,NA,NA
"2","And my top 10 films of 2017 are:
10. The Day After
9. Lady Macbeth
8. mother!
7. Dunkirk
6. The Killing of a Sacred＃ https://t.co/5lQ1HyugFp",FALSE,1,"WhitlockAndPope",2017-12-04 23:23:29,TRUE,"937824061782142976","937824708493565956","2262666514","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhitlockAndPope",1,FALSE,FALSE,NA,NA
"3","Just saw the #alphago movie on Google play. Funny how happy I was seeing all the *people* I remember during the eve＃ https://t.co/Gcy41bu3NB",FALSE,0,NA,2017-12-04 23:12:51,TRUE,NA,"937822034901553152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeffrey_kane",0,FALSE,FALSE,NA,NA
"4","RT @KurzweilAINews: Alpha Go Zero trains itself to be most powerful Go player in the world https://t.co/O8iZszizzN",FALSE,0,NA,2017-12-04 22:26:16,FALSE,NA,"937810312627187712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LealFirm",11,TRUE,FALSE,NA,NA
"5","RT @GoFederationRu: AlphaGo Zero = Define on computer Go server?
https://t.co/9XT3EmgWo4
Moves typical for AlphaGo, made by Define https://＃",FALSE,0,NA,2017-12-04 22:14:47,FALSE,NA,"937807420708941824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Reeves_spirea",6,TRUE,FALSE,NA,NA
"6","RT @chrisalbon: AlphaGo documentary https://t.co/mRJ5JcK6Sh

Forget Star Wars, I want to see this so bad.",FALSE,0,NA,2017-12-04 21:43:44,FALSE,NA,"937799606401765376",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i旬S</a>","tenenmatt",48,TRUE,FALSE,NA,NA
"7","RT @demishassabis: So excited that the #AlphaGo documentary and the behind the scenes story of the dramatic match in Seoul is now available＃",FALSE,0,NA,2017-12-04 21:31:40,FALSE,NA,"937796572355747845",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FBiavati",130,TRUE,FALSE,NA,NA
"8","RT @Gregory_C_Allen: America＊s Sputnik moment occured when we saw we were behind and fought to regain tech leadership. AlphaGo was China＊s＃",FALSE,0,NA,2017-12-04 21:25:05,FALSE,NA,"937794913277751296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","neilmartis17",8,TRUE,FALSE,NA,NA
"9","AlphaGo Zero = Define on computer Go server?
https://t.co/9XT3EmgWo4
Moves typical for AlphaGo, made by Define https://t.co/G4OHLwhE3b",FALSE,15,NA,2017-12-04 21:13:12,FALSE,NA,"937791921275265024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GoFederationRu",6,FALSE,FALSE,NA,NA
"10","RT @Gregory_C_Allen: America＊s Sputnik moment occured when we saw we were behind and fought to regain tech leadership. AlphaGo was China＊s＃",FALSE,0,NA,2017-12-04 20:40:59,FALSE,NA,"937783817334640642",NA,"<a href=""http://techmeme.com/about"" rel=""nofollow"">Techmeme Editors</a>","TechmemeChatter",8,TRUE,FALSE,NA,NA
"11","RT @tegmark: New AI breakthrough: in the space of a few days, starting tabula rasa, #AI blows away 3,000 yrs of human Go wisdom: https://t.＃",FALSE,0,NA,2017-12-04 20:25:36,FALSE,NA,"937779944435912709",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonikaWikstrm",467,TRUE,FALSE,NA,NA
"12","RT @livuni_eeecs: Four more days before this Thursday's screening of the documentary on how DeepMind's AlphaGo was able to revolutionise ou＃",FALSE,0,NA,2017-12-04 19:41:02,FALSE,NA,"937768727642279936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pgwhwong",4,TRUE,FALSE,NA,NA
"13","What AlphaGo Zero Means for the Future of AI https://t.co/gNvU5iO6wZ The possibilities that emerge as AI progresses＃ https://t.co/o2S5iNpdHg",FALSE,0,NA,2017-12-04 19:37:52,TRUE,NA,"937767933861773312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ryonck",0,FALSE,FALSE,NA,NA
"14","@okw Hey Olef, check out the first item in this newsletter (and subscribe!). It reminded of what you said about a l＃ https://t.co/xPuCyoxsS8",FALSE,1,"okw",2017-12-04 19:36:54,TRUE,NA,"937767688486744065","77643","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","connerdowney",0,FALSE,FALSE,NA,NA
"15","RT @ShaneLegg: The story behind AlphaGo is now available online :-) https://t.co/OgYQfjbqZ3",FALSE,0,NA,2017-12-04 19:29:17,FALSE,NA,"937765772646076418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceobillionaire",28,TRUE,FALSE,NA,NA
"16","RT @demishassabis: So excited that the #AlphaGo documentary and the behind the scenes story of the dramatic match in Seoul is now available＃",FALSE,0,NA,2017-12-04 19:25:52,FALSE,NA,"937764910913720323",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceobillionaire",130,TRUE,FALSE,NA,NA
